rndm,id,created_at,favorite_count,favorited,retweeted,text,timestamp_ms,Support
67,6.96E+17,Sun Feb 07 19:14:38 +0000 2016,0,FALSE,FALSE,RT @WorldStarFunny: Panthers hitting the dab for Super Bowl 50 team photo 😂 https://t.co/ojAlhk73fV,1.45E+12,Panthers
923,6.96E+17,Sun Feb 07 19:14:58 +0000 2016,0,FALSE,FALSE,"RT @Pokemon: It's Game Day, Trainers! Who's ready for #SB50? #Pokemon20 https://t.co/qoeQKaXP7i",1.45E+12,Neutral
1039,6.96E+17,Sun Feb 07 19:15:00 +0000 2016,0,FALSE,FALSE,Except Star he a trill nigga!  https://t.co/IeTbb5AMUq,1.45E+12,Neutral
1617,6.96E+17,Sun Feb 07 19:15:13 +0000 2016,0,FALSE,FALSE,#SuperBowl night lets get it on. If Broncos defence shuts down cam it's Broncos ftw,1.45E+12,Broncos
1784,6.96E+17,Sun Feb 07 19:15:17 +0000 2016,0,FALSE,FALSE,RT @esurance: RT during the big game for your shot at a big gain. #EsuranceSweepstakes #SB50 https://t.co/Nm8UJicH6b,1.45E+12,Neutral
2141,6.96E+17,Sun Feb 07 19:15:25 +0000 2016,0,FALSE,FALSE,"RT @SportsCenter: Cam Newton is hoping to put another trophy on his desk tonight.
https://t.co/x0P2z6jQ63",1.45E+12,Neutral
2150,6.96E+17,Sun Feb 07 19:15:25 +0000 2016,0,FALSE,FALSE,"@SamHeughan #Broncos
Only because horses beats cats for me!",1.45E+12,Broncos
2270,6.96E+17,Sun Feb 07 19:15:28 +0000 2016,0,FALSE,FALSE,RT @esurance: RT during the big game for your shot at a big gain. #EsuranceSweepstakes #SB50 https://t.co/Nm8UJicH6b,1.45E+12,Neutral
2606,6.96E+17,Sun Feb 07 19:15:35 +0000 2016,0,FALSE,FALSE,RT @YerboutiSheik: What a fairy. https://t.co/JtueBO1if8,1.45E+12,Neutral
3030,6.96E+17,Sun Feb 07 19:15:44 +0000 2016,0,FALSE,FALSE,"RT @frontpagestocks: $TXHD #superbowlsunday #winning #stock #wins Monday also #super #company #running like a #Panther &amp; #Bronco #RT
https:…",1.45E+12,Neutral
3142,6.96E+17,Sun Feb 07 19:15:46 +0000 2016,0,FALSE,FALSE,I vote #BRONCOS! Who do you think will win #SB50? Pick a team to enter the #NFLonXbox #Sweepstakes. https://t.co/FpdbT9bbpm,1.45E+12,Broncos
3306,6.96E+17,Sun Feb 07 19:15:50 +0000 2016,0,FALSE,FALSE,RT @billboard: Who else is excited for Lady Gaga to sing the National Anthem at the #SuperBowl tonight?! https://t.co/Js31ZCBTYF https://t.…,1.45E+12,Neutral
3702,6.96E+17,Sun Feb 07 19:15:58 +0000 2016,0,FALSE,FALSE,"RT @google: Typo, myth or meme? You decide. #SB50 #GoogleTrends https://t.co/SrQfkWIFFj",1.45E+12,Neutral
4213,6.96E+17,Sun Feb 07 19:16:09 +0000 2016,0,FALSE,FALSE,Go Panthers! Closing at 5pm https://t.co/YoNToiSVBo,1.45E+12,Panthers
4341,6.96E+17,Sun Feb 07 19:16:11 +0000 2016,0,FALSE,FALSE,"Super Bowl 50.... Which of these is you today?!?

A. Panthers, yeah! ✨⚡️💥
B. Broncos, woo hoo!… https://t.co/DbqhTvRrPc",1.45E+12,Neutral
4443,6.96E+17,Sun Feb 07 19:16:14 +0000 2016,0,FALSE,FALSE,RT @Xbox: Who'll throw the most passing yds in #SB50? Vote for a chance to win #NFLonXbox #Sweepstakes https://t.co/CRqwlpJxXw https://t.co…,1.45E+12,Neutral
5275,6.96E+17,Sun Feb 07 19:16:31 +0000 2016,0,FALSE,FALSE,"RT @frontpagestocks: $TXHD #superbowlsunday #winning #stock #wins Monday also #super #company #running like a #Panther &amp; #Bronco #RT
https:…",1.45E+12,Neutral
5590,6.96E+17,Sun Feb 07 19:16:38 +0000 2016,0,FALSE,FALSE,#hookitTimmy gave us some tips at the gate. Proud to be with TimFerry Academy.…  https://t.co/sOp4KV2SVP https://t.co/ra4StuSMTG,1.45E+12,Neutral
5730,6.96E+17,Sun Feb 07 19:16:41 +0000 2016,0,FALSE,FALSE,"RT @musicnews_shade: ""GOOD LUCK GAGA ON SB50"" is now trending as the Pop Queen is set to perform at the #SB50! Huge night in her career! ht…",1.45E+12,Neutral
6514,6.96E+17,Sun Feb 07 19:16:58 +0000 2016,0,FALSE,FALSE,When it's #SuperBowlSunday and you got to work https://t.co/xTojbrb1RD,1.45E+12,Neutral
6583,6.96E+17,Sun Feb 07 19:17:00 +0000 2016,0,FALSE,FALSE,"RT @growingupzee: Looked all over, but can't find my super bowl of food on #SuperBowlSunday.  #CatsOfTwitter #cats https://t.co/P0COyE1oYJ",1.45E+12,Neutral
7015,6.96E+17,Sun Feb 07 19:17:09 +0000 2016,0,FALSE,FALSE,RT @esurance: RT during the big game for your shot at a big gain. #EsuranceSweepstakes #SB50 https://t.co/Nm8UJicH6b,1.45E+12,Neutral
7804,6.96E+17,Sun Feb 07 19:17:25 +0000 2016,0,FALSE,FALSE,RT @ladygaga: Joined Snapchat today to celebrate #SB50. 👻 follow My Story @ my first Super Bowl! https://t.co/5Df7PecFau,1.45E+12,Neutral
8912,6.96E+17,Sun Feb 07 19:17:50 +0000 2016,0,FALSE,FALSE,"Follow your heart, The Panthers  https://t.co/zQiAZE3Rz8",1.45E+12,Panthers
8999,6.96E+17,Sun Feb 07 19:17:52 +0000 2016,0,FALSE,FALSE,"RT @frontpagestocks: $TXHD #superbowlsunday #winning #stock #wins Monday also #super #company #running like a #Panther &amp; #Bronco #RT
https:…",1.45E+12,Neutral
9090,6.96E+17,Sun Feb 07 19:17:54 +0000 2016,0,FALSE,FALSE,"Go Broncos!  I was standing in the 49ers stadium, on the field, two months ago...seems surreal to see San Francisco again.",1.45E+12,Broncos
9143,6.96E+17,Sun Feb 07 19:17:55 +0000 2016,0,FALSE,FALSE,"RT @frontpagestocks: $TXHD #superbowlsunday #winning #stock #wins Monday also #super #company #running like a #Panther &amp; #Bronco #RT
https:…",1.45E+12,Neutral
9802,6.96E+17,Sun Feb 07 19:18:09 +0000 2016,0,FALSE,FALSE,RT &amp; the alien may grant your wish to win a trip. #AvosInSpace #SB50 #ad @avosfrommexico - https://t.co/3kuA7mThq4 https://t.co/A0PbGsoGKC,1.45E+12,Neutral
9936,6.96E+17,Sun Feb 07 19:18:12 +0000 2016,0,FALSE,FALSE,RT @NewYorker: A Super Bowl cartoon by David Sipress. Discover more cartoons with our randomizer tool https://t.co/xqkoSR6HUb #SB50 https:/…,1.45E+12,Neutral
10737,6.96E+17,Sun Feb 07 19:18:30 +0000 2016,0,FALSE,FALSE,GO COLTS !! Check latest Colts update https://t.co/71lTPb326O https://t.co/qT4HMKDgCr,1.45E+12,Neutral
11825,6.96E+17,Sun Feb 07 19:18:54 +0000 2016,0,FALSE,FALSE,Rooting for the Broncos #mushroomfm,1.45E+12,Broncos
12045,6.96E+17,Sun Feb 07 19:18:58 +0000 2016,0,FALSE,FALSE,NASA: Satellite captured #SuperBowlSunday area from space! Zoom in. Can you find Levi's Stadium? … https://t.co/K1Z4mZ6TGH,1.45E+12,Neutral
